id,nombre,superficie,aniversario,limites
"1,Agronomia,2.1,25-9,Nuñez;Belgrano;Chacarita"
"2,Almagro,4.1,28-9,Palermo;Villa Crespo;Boedo;Caballito;Balvanera"
"3,Balvanera,4.4,1-4,Recoleta;Barrio Norte;San Nicolas;Monserrat;Constitucion;Almagro"
"4,Barracas,7.6,30-8,La Boca;Parque Patricios;Nueva Pompeya;Constitucion"
"5,Belgrano,6.8,23-11,Palermo;Nunez;Colegiales;Saavedra"
"6,Boedo,2.6,25-7,Parque Patricios;Almagro;San Cristobal;Flores;Nueva Pompeya"
"7,Caballito,6.8,15-2,Villa Crespo;Almagro;Boedo;Parque Patricios;Parque Chacabuco;Flores"
"8,Chacarita,3.1,28-6,Palermo;Colegiales;Villa Crespo;Agronomia"
"9,Coghlan,1.3,1-2,Nuñez;Saavedra;Villa Urquiza"
10,Colegiales,2.3,21-9
11,Constitucion,2.1,29-8
12,Flores,7.8,31-5
13,Floresta,2.3,29-8
14,La Boca,3.1,23-8
15,La Paternal,2.2,12-7
16,Liniers,4.3,18-12
17,Mataderos,7.3,14-4
18,Monte Castro,2.6,14-5
19,Montserrat,2.2,8-9
20,Nueva Pompeya,6.2,14-5
21,Nu¤ez,4.5,27-4
22,Palermo,15.9,25-6
23,Parque Avellaneda,5.1,3-3
24,Parque Chacabuco,3.8,15-5
25,Parque Chas,1.4,29-9
26,Parque Patricios,3.7,12-9
27,Puerto Madero,2.1,8-3
28,Recoleta,5.9,12-10
29,Retiro,2.8,30-6
30,Saavedra,5.6,27-4
31,San Cristobal,2.1,28-6
32,San Nicolas,2.3,23-8
33,San Telmo,1.2,31-5
34,Versalles,1.4,16-11
35,Villa Crespo,3.6,3-6
36,Villa Devoto,6.4,13-4
37,Villa General Mitre,2.2,6-11
38,Villa Lugano,9.0,18-10
39,Villa Luro,2.6,1-12
40,Villa Ortuzar,1.8,26-4
41,Villa Pueyrredon,3.3,20-8
42,Villa Real,1.3,18-3
43,Villa Riachuelo,4.1,5-2
44,Villa Santa Rita,2.2,5-9
45,Villa Soldati,8.6,29-11
46,Villa Urquiza,5.4,2-10
47,Villa del Parque,3.4,8-11
48,Velez Sarfield,2.4,12-12
