id,nombre,recorrido,atractivos,direccion,barrio,comuna,geometry,peso
"1,00. Parada 0 Diagonal Norte,Recorrido Rojo,Cabildo de Buenos Aires - Museo del Bicentenario - Galería Güemes - Catedral Metropolitana - Casa Rosada - Obelisco,""Saenz Peña, Roque, Pres. Diagonal Norte Av. 728, entre Maipú y Tte. Gral Juan D. Perón"",San Nicolas,Comuna 1,POINT (-58.376813001908765 -34.60638707326217),7"
"2,00. Recoleta,Recorrido Amarillo,Basílica Nuestra Señora del Pilar - Floralis Genérica - Museo Nacional de Bellas Artes - Centro Cultural Recoleta - Cementerio de la Recoleta,""Quintana, Manuel, Pres. Av. 591, entre Pres. Roberto M. Ortiz y Ayacucho"",Recoleta,Comuna 2,POINT (-58.390608706375325 -34.587729006796415),13"
"3,01. 9 de Julio - Teatro Colón,Recorrido Amarillo,Galerías Pacífico - Obelisco - Plaza San Martín - Teatro Cervantes - Teatro Colón,""Cerrito 890, entre Av Córdoba y Paraguay"",Retiro,Comuna 1,POINT (-58.38268524058373 -34.598216589075214),8"
4,01. Congreso de la Nación,Recorrido Rojo,Monumento a los Dos Congresos - Congreso de la Nación Argentina - Hotel Castelar - Palacio Barolo - Pasaje Rivarola,Rivadavia Av. 1573,San Nicolas,Comuna 1,POINT (-58.388775923975345 -34.608951921004255),10
"5,02. Av de Mayo,Recorrido Amarillo,Museo del Bicentenario - Teatro Avenida - Cabildo de Buenos Aires - Café Tortoni - Casa Rosada - Manzana de las Luces,""De Mayo Av. 839, entre Piedras y Tacuarí"",Monserrat,Comuna 1,POINT (-58.37844898363984 -34.608743523126066),14"
"6,02. Casco Histórico - Paseo de la Historieta,Recorrido Rojo,Plaza Dorrego - Museo MAMBA - Museo MACBA - Mercado de San Telmo - Iglesia San Pedro Telmo,""Independencia Av. 331, entre Balcarce y Defensa"",San Telmo,Comuna 1,POINT (-58.370572047214324 -34.61707690010189),5"
"7,03. Congreso de la Nación,Recorrido Amarillo,Congreso de la Nación Argentina - Hotel Castelar - Monumento a los Dos Congresos - Palacio Barolo - Pasaje Rivarola,""Rivadavia Av. 1573, entre Paraná y Montevideo"",San Nicolas,Comuna 1,POINT (-58.38885668731731 -34.60895674033764),7"
"8,03. San Telmo - Museo de Arte Moderno,Recorrido Rojo,Iglesia San Pedro Telmo - Mercado de San Telmo - Museo MACBA - Museo MAMBA - Plaza Dorrego,""San Juan Av. 350, entre Balcarce y Defensa"",San Telmo,Comuna 1,POINT (-58.370527511975915 -34.62189337955762),8"
"9,04. Casco Histórico - Buenos Aires Museo,Recorrido Amarillo,Basílica de San Francisco - Escultura de Mafalda - Fragata Sarmiento - Plaza de Mayo - Puente de la Mujer,""Belgrano Av. 380, entre 5 de Julio y Defensa"",Monserrat,Comuna 1,POINT (-58.37169730984708 -34.6125492954896),6"
"10,04. Usina del Arte,Recorrido Rojo,Estadio Boca Juniors - Caminito - La Torre del Fantasma - Museo del Cine - Museo Quinquela Martín,""Caffarena, Agustin R. 49, entre Av Don Pedro de Mendoza y Caboto"",La Boca,Comuna 4,POINT (-58.3565842819939 -34.62915917120158),4"
"11,05. La Bombonera,Recorrido Rojo,Caminito - Museo Quinquela Martín - Puente Transbordador - Teatro de la Ribera,""Brandsen 805, entre Iberlucea y Juan de Dios Filiberto"",La Boca,Comuna 4,POINT (-58.36424891322227 -34.63642668215644),2"
"12,05. San Telmo - Museo de Arte Moderno,Recorrido Amarillo,Plaza Dorrego - Museo MAMBA - Museo MACBA - Mercado de San Telmo - Iglesia San Pedro Telmo,""San Juan Av. 328, entre Balcarce y Defensa"",San Telmo,Comuna 1,POINT (-58.37057367203158 -34.621893414654444),10"
"13,06. La Boca - Caminito,Recorrido Rojo,Museo Quinquela Martín - Usina del Arte - Teatro de la Ribera - Puente Transbordador - Estadio Boca Juniors,""Don Pedro De Mendoza Av. 1959, entre Iberlucea y Rocha"",La Boca,Comuna 4,POINT (-58.36182082754854 -34.6399228877719),13"
"14,06. La Bombonera,Recorrido Amarillo,Caminito - Teatro de la Ribera - Puente Transbordador - Museo Quinquela Martín,""Brandsen 805, entre Iberlucea y Juan de Dios Filiberto"",La Boca,Comuna 4,POINT (-58.36449406103985 -34.63652824362294),2"
"15,07- La Boca - Caminito,Recorrido Amarillo,Teatro de la Ribera - Estadio Boca Juniors - Museo Quinquela Martín - Puente Transbordador - Usina del Arte,""Don Pedro De Mendoza Av. 1959, entre Iberlucea y Rocha"",La Boca,Comuna 4,POINT (-58.36181006455581 -34.63987517878851),7"
"16,07. Reserva Ecológica (alternativa Sáb-Dom),Recorrido Rojo,Puente de la Mujer - Paseo de la Gloria - Parque Micaela Bastidas - Monumento al Tango - Fragata Sarmiento,""Lanteri Julieta 1750, (entre Rosario Vera Peñaloza y Lola Mora)"",Puerto Madero,Comuna 1,POINT (-58.35946960727806 -34.61808252557641),3"
"17,07. Reserva Ecológica (principal),Recorrido Rojo,Puente de la Mujer - Paseo de la Gloria - Parque Micaela Bastidas - Monumento al Tango - Fragata Sarmiento,""Achaval Rodriguez, T., Dr. Av. 1500"",Puerto Madero,Comuna 1,POINT (-58.356996687129474 -34.616277328065124),3"
"18,08. Parque Lezama,Recorrido Amarillo,,""Brasil Av. 369, entre Defensa y Balcarce"",San Telmo,Comuna 1,POINT (-58.37058140961701 -34.62539866675111),9"
"19,08. Puerto Madero,Recorrido Rojo,Museo del Humor - Puente de la Mujer - Centro Cultural Néstor Kirchner - Buque Escuela Corbeta Uruguay - Experiencias Náuticas,""Manso Juana y Guemes, Macacha, Torre YPF"",Puerto Madero,Comuna 1,POINT (-58.363162007723155 -34.60538750788055),3"
"20,09. Estación Fluvial,Recorrido Rojo,Reserva Ecológica - Centro Cultural Néstor Kirchner - Circuitos Gastronómicos Peatonales - Colección de Arte Amalia Lacroze de Fortabat - Galerías Pacífico,""Manso Juana y Grierson, Cecilia, entre Juana Manso y Olga Cossetini"",Retiro,Comuna 1,POINT (-58.364709515672544 -34.59805776421315),5"
"21,09. Puerto Madero - Puente de la Mujer,Recorrido Amarillo,,""Manso Juana 850, entre Manuela Sáenz y Marta Lynch"",Puerto Madero,Comuna 1,POINT (-58.36313022062197 -34.60783808416866),5"
"22,10. Estación Fluvial,Recorrido Amarillo,Reserva Ecológica - Galerías Pacífico - Colección de Arte Amalia Lacroze de Fortabat - Circuitos Gastronómicos Peatonales - Centro Cultural Néstor Kirchner,""Manso Juana y Grierson, Cecilia, entre Juana Manso y Olga Cossetini"",Retiro,Comuna 1,POINT (-58.36477873173546 -34.598061397644095),6"
"23,10. Galerías Pacífico,Recorrido Rojo,Teatro Colón - Plaza San Martín - Palacio Paz - Círculo Militar - Iglesia Santa Catalina de Siena - Galerías Pacífico,""Cordoba Av. 651, entre Florida y Maipú"",Retiro,Comuna 1,POINT (-58.37604588764011 -34.59865509890096),6"
"24,11. Galerías Pacífico,Recorrido Amarillo,Teatro Colón - Galerías Pacífico - Iglesia Santa Catalina de Siena - Palacio Paz - Círculo Militar - Plaza San Martín,""Cordoba Av. 466, entre San Martín y Reconquista"",San Nicolas,Comuna 1,POINT (-58.373884854721986 -34.598696464814445),0.1"
25,11. Plaza San Martín - Retiro,Recorrido Rojo,Basílica Del Santísimo Sacramento - Museo Nacional Ferroviario Raúl Scalabrini Ortiz - Palacio San Martín - Torre Monumental - Museo de la Inmigración y Centro de Arte Contemporáneo,Santa Fe Av. 808,Retiro,Comuna 1,POINT (-58.37882374553313 -34.5952260254009),5
