id,nombre,tipo,tipo_sede,actividade,direccion,barrio,comuna,telefono,email,web,facebook,instalacio,geometry
1,17 de Agosto,Club de Barrio,Sede,Básquet Masculino - Baby Fútbol - Musculación - Bochas - Natación - Artes Marciales - Actividades Culturales - Tenis - Fútsal Masculino - Fútsal Femenino - Gimnasia Deportiva - Básquet Femenino,Albarellos Av. 2935,Villa Pueyrredon,Comuna 12,4572-1106,c17deagosto@yahoo.com.ar -  c17deagosto@hotmail.com,www.club17deagosto.com.ar,,Canchas - Salones - Natatorio,POINT (-58.510596985871345 -34.57779210060216)
2,25 de Mayo 1810,Club de Barrio,Sede,,Cosquin 1651,Mataderos,Comuna 9,4687-5179,,,,,POINT (-58.513889832446914 -34.65572604519701)
3,Agronomia Central,Club de Barrio,Sede,Fútsal - Baby Fútbol - Básquet - Boxeo - Fútbol Femenino - Gimnasia - Patín - Vóley,Bauness 958,Parque Chas,Comuna 15,4524-2225,clubagronomiacentral@gmail.com,www.clubagronomiacentral.wordpress.com,club agronomia central,Canchas - Salon,POINT (-58.47476637632379 -34.5895430353617)
4,Agrupacion San Jorge,Club,Sede,Gimnasio de Musculación - Fútbol Femenino - Boxeo - Aeróbica - Actividades Culturales - Fútbol Infantil,Vilela 3340,Saavedra,Comuna 12,4542-0585,,,,2 Canchas de Cesped y Tierra - Cancha Polideportiva de Cemento - Natatorio descubierto - Solarium Recreativo - Parrillas - Sum,POINT (-58.47971328862876 -34.54928249896153)
5,Agrupacion Subatlántica de Expediciones Submarinas Jules Rossi,Club de Barrio,Sede,Buceo Deportivo,Quito 3657,Almagro,Comuna 5,4931-6746,info@ases.org.ar - asesbuceo@fibertel.com.ar,,ases escuela de buceo organización sin fines de lucro,Natatorio - Cámara Hiperbárica,POINT (-58.417728941612275 -34.61647450739044)
6,Aleman de Equitacion,Club,Sede,Volteo - Salto - Equitacion,Dorrego Av. 4045,Palermo,Comuna 14,4772-6289,caehipico@hotmail.com,www.clubalemandeequitacion.com,club alemán de equitación,Pistas - Caballerizas - Pista Cubierta - Natatorio - Boxes - Parque - Vallas - Confiterias - Salon de Eventos,POINT (-58.416777216290654 -34.563014317890506)
7,All Boys de Saavedra,Club de Barrio,Sede,Indoor Bike - Vóley - Pilates - Actividades Culturales - Artes Marciales - Baby Fútbol - Básquet - Boxeo - Danza - Escalada Deportiva - Fútsal - Gimnasia Aeróbica,Besares 3142,Saavedra,Comuna 12,4541-8338,allboys_saavedra@yahoo.com.ar,www.allboyssaavedra.com.ar,all boys de saavedra,Biblioteca - Gimnasio - Salon - Canchas,POINT (-58.47796071799494 -34.54786273802738)
8,Almagro Asociacion Civil,Club,Central,Gimnasia con Aparatos - Natación - Patín - Vóley - Artes Marciales - Baby Fútbol - Básquet,Medrano Av. 522,Almagro,Comuna 5,5408-0053,info@clubalmagro.com.ar,www.clubalmagro.com.ar,almagro  equipo deportivo,"1 Cancha Futsal - 3 Salones - Natatorio - Tambien Estadio 3 de Febrero Situado en la Localidad Argentina de José Ingenieros, en el Partido de Tres de Febrero, en la Provincia de Buenos Aires",POINT (-58.42135203346873 -34.60446917412459)
9,Almagro Boxing Club,Club de Barrio,Sede,Boxeo - Gimnasia de Boxeo,Diaz Velez Av. 4422,Almagro,Comuna 5,4982-6529 / 4865-1471,almagroboxingclub@gmail.com,www.almagroboxingclub.com.ar,almagro boxing club,Gimnasio,POINT (-58.42949386718472 -34.60891191612364)
10,Alvear Club,Club de Barrio,Sede,Gimnasio con Aparatos - Fútbol - Fútsal - Taekwondo - Tenis - Tenis de Mesa,"Rodo, Jose E. 4190",Parque Avellaneda,Comuna 9,4636-0183,alvearclub@outlook.com,,,,POINT (-58.48274076466886 -34.641902683666814)
